,,,,,,,,,,,,"Leisure Limited awards $40,000 to the stand with highest sales. SparkFire estimates a",,,,,,,,,,,,,,,,,
a),"From 1,2,3 we have below X* at various Selling prices and fraction as refund",,,,,,,,,,,5% chance of winning if actual sales are ≥400 units. Other states use 3% if actual sales,,,,,,,,,,,,,,,,,
,,,X* at various fractions of refund,,,,,,,,,≥380 or 7% if actual sales ≥420 are mentioned as context.,,,,,,,,,,,,,,,,,
,,,0.25,0.5,0.75,,,,,,,(a) Modify your profit model to account for the possibility of awards.,,,,,,,,,,,,,,,,,
,Sellling Price,$5 ,246,270,305,,,,,,,(b) Find the new quantity Q∗∗ that maximizes total expected returns.,,,,,,,,,,,,,,,,,
,,$6 ,277,300,332,,,,,,,(c) Compare Q∗∗ to Q∗ (from Part 2) and discuss how this incentive scheme encourages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,risk-seeking or risk-averse behavior.,,,,,,,,,,,,,,,,,
,Now below are the changes of winning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sales,Probability of winning,,Correspond X* ,,,,,,,,,,,,,,,,,,,,,,,,
,,>=400,5%,,Nil,,,,,,,,,,,,,,,,,,,,,,,,
,,>=380,3%,,Nil,,,,,,,,,,,,,,,,,,,,,,,,
,,>=420,7%,,Nil,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lets find X* with below add ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Assuming sales >=400, then Addional revenue=40000*.05=",,,,,2000,overall; So per unit on 400 (minimum qty)=,,,,5,$per unit,,,,,,,,,,,,,,,,,
,So Cu=5+5-3=,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,Co=3-0.5*3+.5=,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,So F(X*)=,,0.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,
,X*=,,353.3333333,,at 0.5 refund fraction,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Assuming X* >=380, then Addional revenue=40000*.03=",,,,,1200,overall; So per unit on 380 (minimum qty)=,,,,3.2,$per unit,,,,,,,,,,,,,,,,,
,So Cu=5+3.2-3=,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Co=3-0.5*3+.5=,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,So F(X*)=,,0.722222222,,,,,,,,,,,,,,,,,,,,,,,,,,
,X*=,,336.6666667,,at 0.5 refund fraction,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,To sell 400 we need atleast 400. suppose we stock 400 units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"So demand could be split as either <= 400,  or >400 ",,,,,,,,,Probabilities,,D<,380,0.867,380,<=D<=,400,0.066666667,D<,400,0.933,400,<=D<=,420,0.066666667,<=D,420,0,
,Expected sale when demand<400 is,,,,,242.6666667,,,,Exp Sale,,,217,,,,,,,243,,,,,,,270,,
,Expected Profit when Demand<400=,,,,250.6666667,(without set up cost),,,,Exp left,,,163,,,,,,,157,,,,,,,150,,
,Probability Demand>=380 but less than 400=P(D<=400)-p(D<=380=(400-120)/(420-120)-(380-120)/(420-120),,,,,,,,,Exp profit,,,106.6666667,,,,,,,170.6666667,,,,,,,240,,
,,,,,=,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
,Probability Demand>400=1-P(D<=400)=,,,,0.066666667,,,,,Sales,Probability of winning,,,,,,,,,,,,,,,,,,
,"for Demand>400, sale=",,400,,,,,,,>=400,5%,,,,,,,,,,,,,,,,,,
,So profit without winning prize=,,,800,for Demand>=400,,,,,>=380,3%,,,,,,,,,,,,,,,,,,
,Profit with winning prize=,,,40800,,,,,,>=420,7%,,,,,,,,,,,,,,,,,,
,Expected profit when Demand>=400=,,,,186.6666667,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Qty,Expected Qty,Exp leftover,Reg. exp profit,,Profit with reward,Optimal profit w/o reward,,,Qty,Exp profit,Expected sale,Exp left over,,,,,,
,Total profit=,,417.3333333,,(inclusive of ordering cost),,,,,,372,266,106,301,,301,$370 ,,,120,220,120,0,,,,,,
,At EOQ in part 2 we saw the profit was=,,,$370.00 ,which is lesser than with the reward,,,,,,373,266,107,299,,299,$370 ,,,121,222,121,0,,,,,,
,,,,,,,,,,,374,266,108,298,,298,$370 ,,,122,224,122,0,,,,,,
,Now suppose we had inventory at 380 units,,,,,,,,,,375,267,108,297,,297,$370 ,,,123,226,123,0,,,,,,
,Expected sale when demand<380 is,,,,,216.6666667,,,,,376,267,109,295,,295,$370 ,,,124,228,124,0,,,,,,
,Expected Profit when Demand<380=,,,,106.6666667,(without set up cost),,,,,377,267,110,294,,294,$370 ,,,125,230,125,0,,,,,,
,Probability Demand>=380=1-P(D<=380)=1-(380-120)/(380-120)=,,,,,,0.133333333,,,,378,267,111,292,,292,$370 ,,,126,232,126,0,,,,,,
,Since we have stock=,,380,,,,,,,,379,267,112,291,,291,$370 ,,,127,234,127,0,,,,,,
,So profit without winning prize=,,,760,,,,,,,380,267,113,289,,449,$370 ,,0.866666667,128,236,128,0,,,,,,
,Profit with winning prize=,,,40760,,,,,,,381,267,114,288,,448,$370 ,,0.133333333,129,237,129,0,,,,,,
,Expected profit when Demand>=380=,,,,261.3333333,,,,,,382,268,114,286,,446,$370 ,,160,130,239,130,0,,,,,,
,Total profit=,,348,,(inclusive of ordering cost),,,,,,383,268,115,285,,445,$370 ,,,131,241,131,0,,,,,,
,At EOQ in part 2 we saw the profit was=,,,$370.00 ,which is still better,,,,,,384,268,116,283,,443,$370 ,,,132,243,132,0,,,,,,
,,,,,,,,,,,385,268,117,282,,442,$370 ,,,133,245,133,0,,,,,,
,Suppose we now hand inventory at 420 units,,,,,,,,,,386,268,118,280,,440,$370 ,,,134,247,134,0,,,,,,
,Expected sale now=,,270,,,,,,,,387,268,119,279,,439,$370 ,,,135,249,135,0,,,,,,
,Exected profit=,,$433.33 ,,(inclusive of ordering cost),,,,,,388,268,120,277,,437,$370 ,,,136,250,136,0,,,,,,
,,,,,,,,,,,389,268,121,276,,436,$370 ,,,137,252,137,0,,,,,,
,,,,,,,,,,,390,269,122,274,,434,$370 ,,,138,254,137,1,,,,,,
,Final table,,,,,,,,,,391,269,122,272,,432,$370 ,,,139,256,138,1,,,,,,
,Without reward,,With reward,,,,,,,,392,269,123,271,,431,$370 ,,,140,257,139,1,,,,,,
Optimal Q,270,380,400,420,,,,,,,393,269,124,269,,429,$370 ,,,141,259,140,1,,,,,,
Profit,$370 ,$348 ,$417 ,$433 ,,,,,,,394,269,125,267,,427,$370 ,,,142,261,141,1,,,,,,
,,,,,,,,,,,395,269,126,266,,426,$370 ,,,143,262,142,1,,,,,,
,,,,,,,,,,,396,269,127,264,,424,$370 ,,,144,264,143,1,,,,,,
,,,,,,,,,,,397,269,128,262,,422,$370 ,,,145,266,144,1,,,,,,
,,,,,,,,,,,398,269,129,261,,421,$370 ,,,146,267,145,1,,,,,,
,,,,,,,,,,,399,269,130,259,,419,$370 ,,,147,269,146,1,,,,,,
,,,,,,,,,,,400,269,131,257,,471,$370 ,,,148,271,147,1,,,,,,
