Part 5 - Risk & Simulation Results

Summary Statistics
Order Quantity (Q*),270
Number of Trials,500
Random Seed,6334
Mean Profit,$372.98
Standard Deviation,$194.25
Minimum Profit,$-80.00
Maximum Profit,$520.00
Number of Losses,34
Probability of Loss,0.0680

Trial Data
Trial,Demand,Sales,Leftover,Revenue,Salvage,Shipping,Ordering,Variable Cost,Profit,Loss
1,250.00,250.00,20.00,1250.00,30.00,10.00,20.00,810.00,440.00,0
2,169.00,169.00,101.00,845.00,151.50,50.50,20.00,810.00,116.00,0
3,253.00,253.00,17.00,1265.00,25.50,8.50,20.00,810.00,452.00,0
4,140.00,140.00,130.00,700.00,195.00,65.00,20.00,810.00,0.00,0
5,412.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
6,315.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
7,332.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
8,217.00,217.00,53.00,1085.00,79.50,26.50,20.00,810.00,308.00,0
9,127.00,127.00,143.00,635.00,214.50,71.50,20.00,810.00,-52.00,1
10,263.00,263.00,7.00,1315.00,10.50,3.50,20.00,810.00,492.00,0
11,294.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
12,391.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
13,241.00,241.00,29.00,1205.00,43.50,14.50,20.00,810.00,404.00,0
14,408.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
15,328.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
16,330.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
17,320.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
18,320.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
19,369.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
20,164.00,164.00,106.00,820.00,159.00,53.00,20.00,810.00,96.00,0
21,192.00,192.00,78.00,960.00,117.00,39.00,20.00,810.00,208.00,0
22,365.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
23,330.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
24,352.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
25,227.00,227.00,43.00,1135.00,64.50,21.50,20.00,810.00,348.00,0
26,325.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
27,121.00,121.00,149.00,605.00,223.50,74.50,20.00,810.00,-76.00,1
28,198.00,198.00,72.00,990.00,108.00,36.00,20.00,810.00,232.00,0
29,149.00,149.00,121.00,745.00,181.50,60.50,20.00,810.00,36.00,0
30,159.00,159.00,111.00,795.00,166.50,55.50,20.00,810.00,76.00,0
31,141.00,141.00,129.00,705.00,193.50,64.50,20.00,810.00,4.00,0
32,288.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
33,129.00,129.00,141.00,645.00,211.50,70.50,20.00,810.00,-44.00,1
34,140.00,140.00,130.00,700.00,195.00,65.00,20.00,810.00,0.00,0
35,390.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
36,231.00,231.00,39.00,1155.00,58.50,19.50,20.00,810.00,364.00,0
37,140.00,140.00,130.00,700.00,195.00,65.00,20.00,810.00,0.00,0
38,259.00,259.00,11.00,1295.00,16.50,5.50,20.00,810.00,476.00,0
39,190.00,190.00,80.00,950.00,120.00,40.00,20.00,810.00,200.00,0
40,377.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
41,352.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
42,240.00,240.00,30.00,1200.00,45.00,15.00,20.00,810.00,400.00,0
43,281.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
44,186.00,186.00,84.00,930.00,126.00,42.00,20.00,810.00,184.00,0
45,156.00,156.00,114.00,780.00,171.00,57.00,20.00,810.00,64.00,0
46,401.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
47,258.00,258.00,12.00,1290.00,18.00,6.00,20.00,810.00,472.00,0
48,138.00,138.00,132.00,690.00,198.00,66.00,20.00,810.00,-8.00,1
49,193.00,193.00,77.00,965.00,115.50,38.50,20.00,810.00,212.00,0
50,231.00,231.00,39.00,1155.00,58.50,19.50,20.00,810.00,364.00,0
51,168.00,168.00,102.00,840.00,153.00,51.00,20.00,810.00,112.00,0
52,309.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
53,240.00,240.00,30.00,1200.00,45.00,15.00,20.00,810.00,400.00,0
54,139.00,139.00,131.00,695.00,196.50,65.50,20.00,810.00,-4.00,1
55,202.00,202.00,68.00,1010.00,102.00,34.00,20.00,810.00,248.00,0
56,301.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
57,257.00,257.00,13.00,1285.00,19.50,6.50,20.00,810.00,468.00,0
58,125.00,125.00,145.00,625.00,217.50,72.50,20.00,810.00,-60.00,1
59,204.00,204.00,66.00,1020.00,99.00,33.00,20.00,810.00,256.00,0
60,256.00,256.00,14.00,1280.00,21.00,7.00,20.00,810.00,464.00,0
61,297.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
62,347.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
63,157.00,157.00,113.00,785.00,169.50,56.50,20.00,810.00,68.00,0
64,387.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
65,323.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
66,131.00,131.00,139.00,655.00,208.50,69.50,20.00,810.00,-36.00,1
67,217.00,217.00,53.00,1085.00,79.50,26.50,20.00,810.00,308.00,0
68,373.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
69,226.00,226.00,44.00,1130.00,66.00,22.00,20.00,810.00,344.00,0
70,166.00,166.00,104.00,830.00,156.00,52.00,20.00,810.00,104.00,0
71,415.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
72,417.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
73,220.00,220.00,50.00,1100.00,75.00,25.00,20.00,810.00,320.00,0
74,257.00,257.00,13.00,1285.00,19.50,6.50,20.00,810.00,468.00,0
75,226.00,226.00,44.00,1130.00,66.00,22.00,20.00,810.00,344.00,0
76,394.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
77,162.00,162.00,108.00,810.00,162.00,54.00,20.00,810.00,88.00,0
78,378.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
79,331.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
80,339.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
81,376.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
82,145.00,145.00,125.00,725.00,187.50,62.50,20.00,810.00,20.00,0
83,268.00,268.00,2.00,1340.00,3.00,1.00,20.00,810.00,512.00,0
84,155.00,155.00,115.00,775.00,172.50,57.50,20.00,810.00,60.00,0
85,221.00,221.00,49.00,1105.00,73.50,24.50,20.00,810.00,324.00,0
86,247.00,247.00,23.00,1235.00,34.50,11.50,20.00,810.00,428.00,0
87,419.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
88,418.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
89,317.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
90,212.00,212.00,58.00,1060.00,87.00,29.00,20.00,810.00,288.00,0
91,335.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
92,394.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
93,325.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
94,206.00,206.00,64.00,1030.00,96.00,32.00,20.00,810.00,264.00,0
95,145.00,145.00,125.00,725.00,187.50,62.50,20.00,810.00,20.00,0
96,330.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
97,275.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
98,283.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
99,228.00,228.00,42.00,1140.00,63.00,21.00,20.00,810.00,352.00,0
100,240.00,240.00,30.00,1200.00,45.00,15.00,20.00,810.00,400.00,0
101,195.00,195.00,75.00,975.00,112.50,37.50,20.00,810.00,220.00,0
102,362.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
103,171.00,171.00,99.00,855.00,148.50,49.50,20.00,810.00,124.00,0
104,381.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
105,344.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
106,149.00,149.00,121.00,745.00,181.50,60.50,20.00,810.00,36.00,0
107,307.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
108,331.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
109,155.00,155.00,115.00,775.00,172.50,57.50,20.00,810.00,60.00,0
110,251.00,251.00,19.00,1255.00,28.50,9.50,20.00,810.00,444.00,0
111,355.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
112,237.00,237.00,33.00,1185.00,49.50,16.50,20.00,810.00,388.00,0
113,275.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
114,213.00,213.00,57.00,1065.00,85.50,28.50,20.00,810.00,292.00,0
115,371.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
116,168.00,168.00,102.00,840.00,153.00,51.00,20.00,810.00,112.00,0
117,166.00,166.00,104.00,830.00,156.00,52.00,20.00,810.00,104.00,0
118,351.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
119,418.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
120,349.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
121,246.00,246.00,24.00,1230.00,36.00,12.00,20.00,810.00,424.00,0
122,199.00,199.00,71.00,995.00,106.50,35.50,20.00,810.00,236.00,0
123,239.00,239.00,31.00,1195.00,46.50,15.50,20.00,810.00,396.00,0
124,286.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
125,172.00,172.00,98.00,860.00,147.00,49.00,20.00,810.00,128.00,0
126,292.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
127,337.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
128,271.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
129,324.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
130,368.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
131,215.00,215.00,55.00,1075.00,82.50,27.50,20.00,810.00,300.00,0
132,166.00,166.00,104.00,830.00,156.00,52.00,20.00,810.00,104.00,0
