Part 6 - Behavioral Incentive (Prize)

Assumptions
Prize Value,$40000
Prize Threshold,400
Prize Probability,0.05

Results
Q* (without prize),270
Q** (with prize),400
Base Profit at Q*,$370.00
Base Profit at Q**,$257.33
Expected Prize at Q*,$0.00
Expected Prize at Q**,$133.33
Total E[Profit] at Q*,$370.00
Total E[Profit] at Q**,$390.67

Profit by Order Quantity
Q,Expected Sales,Base Profit,P(Sales>=Threshold),Expected Prize,Total E[Profit]
120,120.00,220.00,0.0000,0.00,220.00
121,121.00,221.99,0.0000,0.00,221.99
122,121.99,223.97,0.0000,0.00,223.97
123,122.98,225.94,0.0000,0.00,225.94
124,123.97,227.89,0.0000,0.00,227.89
125,124.96,229.83,0.0000,0.00,229.83
126,125.94,231.76,0.0000,0.00,231.76
127,126.92,233.67,0.0000,0.00,233.67
128,127.89,235.57,0.0000,0.00,235.57
129,128.87,237.46,0.0000,0.00,237.46
130,129.83,239.33,0.0000,0.00,239.33
131,130.80,241.19,0.0000,0.00,241.19
132,131.76,243.04,0.0000,0.00,243.04
133,132.72,244.87,0.0000,0.00,244.87
134,133.67,246.69,0.0000,0.00,246.69
135,134.62,248.50,0.0000,0.00,248.50
136,135.57,250.29,0.0000,0.00,250.29
137,136.52,252.07,0.0000,0.00,252.07
138,137.46,253.84,0.0000,0.00,253.84
139,138.40,255.59,0.0000,0.00,255.59
140,139.33,257.33,0.0000,0.00,257.33
141,140.26,259.06,0.0000,0.00,259.06
142,141.19,260.77,0.0000,0.00,260.77
143,142.12,262.47,0.0000,0.00,262.47
144,143.04,264.16,0.0000,0.00,264.16
145,143.96,265.83,0.0000,0.00,265.83
146,144.87,267.49,0.0000,0.00,267.49
147,145.79,269.14,0.0000,0.00,269.14
148,146.69,270.77,0.0000,0.00,270.77
149,147.60,272.39,0.0000,0.00,272.39
150,148.50,274.00,0.0000,0.00,274.00
151,149.40,275.59,0.0000,0.00,275.59
152,150.29,277.17,0.0000,0.00,277.17
153,151.19,278.74,0.0000,0.00,278.74
154,152.07,280.29,0.0000,0.00,280.29
155,152.96,281.83,0.0000,0.00,281.83
156,153.84,283.36,0.0000,0.00,283.36
157,154.72,284.87,0.0000,0.00,284.87
158,155.59,286.37,0.0000,0.00,286.37
159,156.47,287.86,0.0000,0.00,287.86
160,157.33,289.33,0.0000,0.00,289.33
161,158.20,290.79,0.0000,0.00,290.79
162,159.06,292.24,0.0000,0.00,292.24
163,159.92,293.67,0.0000,0.00,293.67
164,160.77,295.09,0.0000,0.00,295.09
165,161.62,296.50,0.0000,0.00,296.50
166,162.47,297.89,0.0000,0.00,297.89
167,163.32,299.27,0.0000,0.00,299.27
168,164.16,300.64,0.0000,0.00,300.64
169,165.00,301.99,0.0000,0.00,301.99
170,165.83,303.33,0.0000,0.00,303.33
171,166.67,304.66,0.0000,0.00,304.66
172,167.49,305.97,0.0000,0.00,305.97
173,168.32,307.27,0.0000,0.00,307.27
174,169.14,308.56,0.0000,0.00,308.56
175,169.96,309.83,0.0000,0.00,309.83
176,170.77,311.09,0.0000,0.00,311.09
177,171.59,312.34,0.0000,0.00,312.34
178,172.39,313.57,0.0000,0.00,313.57
179,173.20,314.79,0.0000,0.00,314.79
180,174.00,316.00,0.0000,0.00,316.00
181,174.80,317.19,0.0000,0.00,317.19
182,175.59,318.37,0.0000,0.00,318.37
183,176.38,319.54,0.0000,0.00,319.54
184,177.17,320.69,0.0000,0.00,320.69
185,177.96,321.83,0.0000,0.00,321.83
186,178.74,322.96,0.0000,0.00,322.96
187,179.52,324.07,0.0000,0.00,324.07
188,180.29,325.17,0.0000,0.00,325.17
189,181.06,326.26,0.0000,0.00,326.26
190,181.83,327.33,0.0000,0.00,327.33
191,182.60,328.39,0.0000,0.00,328.39
192,183.36,329.44,0.0000,0.00,329.44
193,184.12,330.47,0.0000,0.00,330.47
194,184.87,331.49,0.0000,0.00,331.49
195,185.62,332.50,0.0000,0.00,332.50
196,186.37,333.49,0.0000,0.00,333.49
197,187.12,334.47,0.0000,0.00,334.47
198,187.86,335.44,0.0000,0.00,335.44
199,188.60,336.39,0.0000,0.00,336.39
200,189.33,337.33,0.0000,0.00,337.33
201,190.06,338.26,0.0000,0.00,338.26
202,190.79,339.17,0.0000,0.00,339.17
203,191.52,340.07,0.0000,0.00,340.07
204,192.24,340.96,0.0000,0.00,340.96
205,192.96,341.83,0.0000,0.00,341.83
206,193.67,342.69,0.0000,0.00,342.69
207,194.38,343.54,0.0000,0.00,343.54
208,195.09,344.37,0.0000,0.00,344.37
209,195.80,345.19,0.0000,0.00,345.19
210,196.50,346.00,0.0000,0.00,346.00
211,197.20,346.79,0.0000,0.00,346.79
212,197.89,347.57,0.0000,0.00,347.57
213,198.59,348.34,0.0000,0.00,348.34
214,199.27,349.09,0.0000,0.00,349.09
215,199.96,349.83,0.0000,0.00,349.83
216,200.64,350.56,0.0000,0.00,350.56
217,201.32,351.27,0.0000,0.00,351.27
218,201.99,351.97,0.0000,0.00,351.97
219,202.66,352.66,0.0000,0.00,352.66
220,203.33,353.33,0.0000,0.00,353.33
221,204.00,353.99,0.0000,0.00,353.99
222,204.66,354.64,0.0000,0.00,354.64
223,205.32,355.27,0.0000,0.00,355.27
224,205.97,355.89,0.0000,0.00,355.89
225,206.62,356.50,0.0000,0.00,356.50
226,207.27,357.09,0.0000,0.00,357.09
227,207.92,357.67,0.0000,0.00,357.67
228,208.56,358.24,0.0000,0.00,358.24
229,209.20,358.79,0.0000,0.00,358.79
230,209.83,359.33,0.0000,0.00,359.33
231,210.47,359.86,0.0000,0.00,359.86
232,211.09,360.37,0.0000,0.00,360.37
233,211.72,360.87,0.0000,0.00,360.87
234,212.34,361.36,0.0000,0.00,361.36
235,212.96,361.83,0.0000,0.00,361.83
236,213.57,362.29,0.0000,0.00,362.29
237,214.19,362.74,0.0000,0.00,362.74
238,214.79,363.17,0.0000,0.00,363.17
239,215.40,363.59,0.0000,0.00,363.59
240,216.00,364.00,0.0000,0.00,364.00
241,216.60,364.39,0.0000,0.00,364.39
242,217.19,364.77,0.0000,0.00,364.77
243,217.79,365.14,0.0000,0.00,365.14
244,218.37,365.49,0.0000,0.00,365.49
245,218.96,365.83,0.0000,0.00,365.83
246,219.54,366.16,0.0000,0.00,366.16
247,220.12,366.47,0.0000,0.00,366.47
248,220.69,366.77,0.0000,0.00,366.77
249,221.26,367.06,0.0000,0.00,367.06
250,221.83,367.33,0.0000,0.00,367.33
251,222.40,367.59,0.0000,0.00,367.59
252,222.96,367.84,0.0000,0.00,367.84
253,223.52,368.07,0.0000,0.00,368.07
254,224.07,368.29,0.0000,0.00,368.29
255,224.62,368.50,0.0000,0.00,368.50
256,225.17,368.69,0.0000,0.00,368.69
257,225.72,368.87,0.0000,0.00,368.87
258,226.26,369.04,0.0000,0.00,369.04
259,226.80,369.19,0.0000,0.00,369.19
260,227.33,369.33,0.0000,0.00,369.33
261,227.87,369.46,0.0000,0.00,369.46
262,228.39,369.57,0.0000,0.00,369.57
263,228.92,369.67,0.0000,0.00,369.67
264,229.44,369.76,0.0000,0.00,369.76
265,229.96,369.83,0.0000,0.00,369.83
266,230.47,369.89,0.0000,0.00,369.89
267,230.98,369.94,0.0000,0.00,369.94
268,231.49,369.97,0.0000,0.00,369.97
269,232.00,369.99,0.0000,0.00,369.99
270,232.50,370.00,0.0000,0.00,370.00
271,233.00,369.99,0.0000,0.00,369.99
