Part 8 - Context Signal & Deferred Purchasing

Parameters
Pre-season cost (c0),$3.00
In-season cost (c1),$3.60
P(High),0.45
P(Low),0.55
D|High,Uniform(240,420)
D|Low,Uniform(120,260)

Part 8(b) - Optimal Total by Signal
Q*_H (at c1),308.11
Q*_L (at c1),172.97

Part 8(c) - Optimal Policy
Q0*,207
Q1*(High),101.11
Q1*(Low),0.00
Total Q if High,308.11
Total Q if Low,207.00
Profit if High,$465.28
Profit if Low,$285.87
Expected Profit,$366.60

Part 8(d) - VOSRC
Full Model Profit,$366.60
Baseline Profit,$370.00
VOSRC,$-3.40

Sensitivity - Expected Profit by Q0
Q0,Q1_H,Q1_L,Total_Q_H,Total_Q_L,Profit_H,Profit_L,E[Profit]
0,308.11,172.97,308.11,172.97,343.68,165.08,245.45
1,307.11,171.97,308.11,172.97,344.26,165.66,246.03
2,306.11,170.97,308.11,172.97,344.85,166.25,246.62
3,305.11,169.97,308.11,172.97,345.44,166.83,247.20
4,304.11,168.97,308.11,172.97,346.03,167.41,247.79
5,303.11,167.97,308.11,172.97,346.61,167.99,248.37
6,302.11,166.97,308.11,172.97,347.20,168.58,248.96
7,301.11,165.97,308.11,172.97,347.79,169.16,249.54
8,300.11,164.97,308.11,172.97,348.38,169.74,250.13
9,299.11,163.97,308.11,172.97,348.96,170.32,250.71
10,298.11,162.97,308.11,172.97,349.55,170.91,251.30
11,297.11,161.97,308.11,172.97,350.14,171.49,251.88
12,296.11,160.97,308.11,172.97,350.73,172.07,252.47
13,295.11,159.97,308.11,172.97,351.31,172.66,253.05
14,294.11,158.97,308.11,172.97,351.90,173.24,253.64
15,293.11,157.97,308.11,172.97,352.49,173.82,254.22
16,292.11,156.97,308.11,172.97,353.07,174.40,254.81
17,291.11,155.97,308.11,172.97,353.66,174.99,255.39
18,290.11,154.97,308.11,172.97,354.25,175.57,255.97
19,289.11,153.97,308.11,172.97,354.84,176.15,256.56
20,288.11,152.97,308.11,172.97,355.42,176.73,257.14
21,287.11,151.97,308.11,172.97,356.01,177.32,257.73
22,286.11,150.97,308.11,172.97,356.60,177.90,258.31
23,285.11,149.97,308.11,172.97,357.19,178.48,258.90
